Time_H1,Hour,Session,Type,Close_Price,H1_RSI,H1_STOCH_K,H1_STOCH_D,M1_RSI_Min,M1_RSI_Max,H1_ATR,H1_ATR_High_Volatility,H1_Volume_Spike,Pattern,Divergence,H1_BB_Breakout_%
2025-12-29 01:00:00,1,Asian Session (00:00-08:00),Đỉnh,4526.89,56.28,54.42,54.5,,,17.73331,False,False,Engulfing,None,0.0
2025-12-29 17:00:00,17,NY Session (15:00-24:00),Đáy,4325.11,19.84,9.07,15.6,,,30.13607,True,True,None,None,1.433
2025-12-30 01:00:00,1,Asian Session (00:00-08:00),Đáy,4345.51,31.21,24.31,20.76,,,25.32906,False,False,None,None,0.0
2025-12-30 15:00:00,15,NY Session (15:00-24:00),Đỉnh,4388.21,49.84,83.29,84.52,,,21.68927,False,True,None,None,0.027
2025-12-31 03:00:00,3,Asian Session (00:00-08:00),Đỉnh,4365.93,48.61,37.31,20.79,,,21.92219,False,False,None,None,0.0
2025-12-31 08:00:00,8,London Session (08:00-15:00),Đáy,4328.01,42.7,24.51,24.29,,,27.12233,False,False,None,Bullish Divergence,0.679
2026-01-02 15:00:00,15,NY Session (15:00-24:00),Đỉnh,4365.86,51.88,81.11,89.21,,,22.6077,False,False,Engulfing,Bearish Divergence,0.0
2026-01-02 20:00:00,20,NY Session (15:00-24:00),Đáy,4314.98,38.64,9.25,9.61,,,21.54689,False,False,None,None,0.0
2026-01-05 01:00:00,1,Asian Session (00:00-08:00),Đáy,4372.35,57.47,47.25,26.1,,,21.10536,False,False,None,None,0.0
2026-01-05 17:00:00,17,NY Session (15:00-24:00),Đỉnh,4448.41,68.27,73.99,57.01,,,18.94487,False,False,None,None,0.0
2026-01-06 03:00:00,3,Asian Session (00:00-08:00),Đáy,4450.46,63.16,48.56,59.37,,,17.14713,False,False,None,None,0.0
2026-01-06 23:00:00,23,NY Session (15:00-24:00),Đỉnh,4494.64,64.97,86.09,85.42,,,15.4826,False,False,Pin Bar,None,0.0
2026-01-07 01:00:00,1,Asian Session (00:00-08:00),Đỉnh,4493.24,64.1,89.11,86.56,,,14.96884,False,False,Pin Bar,Bearish Divergence,0.0
2026-01-07 17:00:00,17,NY Session (15:00-24:00),Đáy,4446.0,43.06,44.67,35.96,,,17.65636,False,True,Pin Bar,None,0.175
2026-01-08 14:00:00,14,London Session (08:00-15:00),Đáy,4427.53,39.89,45.31,41.12,,,15.00829,False,False,Pin Bar,Bullish Divergence,0.196
2026-01-08 23:00:00,23,NY Session (15:00-24:00),Đỉnh,4477.26,64.04,90.28,84.85,,,15.56201,False,False,Pin Bar,None,0.076
2026-01-09 03:00:00,3,Asian Session (00:00-08:00),Đáy,4468.77,57.86,70.42,82.04,,,15.50159,False,False,Pin Bar,None,0.0
2026-01-09 17:00:00,17,NY Session (15:00-24:00),Đỉnh,4512.11,72.35,85.03,72.15,,,15.40024,False,True,None,None,0.418
2026-01-12 01:00:00,1,Asian Session (00:00-08:00),Đáy,4539.86,72.64,87.44,79.82,,,16.69309,False,False,None,None,0.0
2026-01-12 18:00:00,18,NY Session (15:00-24:00),Đỉnh,4616.75,68.7,75.56,77.99,,,19.45021,False,False,Pin Bar,Bearish Divergence,0.0
2026-01-13 16:00:00,16,NY Session (15:00-24:00),Đỉnh,4629.63,68.2,80.42,67.66,,,16.86859,False,True,None,Bearish Divergence,0.309
2026-01-13 22:00:00,22,NY Session (15:00-24:00),Đáy,4585.98,47.01,29.55,32.01,,,19.66407,False,False,Engulfing,None,0.0
2026-01-14 01:00:00,1,Asian Session (00:00-08:00),Đáy,4596.9,51.92,30.99,29.7,,,18.30504,False,False,None,None,0.0
2026-01-14 21:00:00,21,NY Session (15:00-24:00),Đỉnh,4638.97,60.49,70.17,54.56,,,17.03274,False,False,None,Bearish Divergence,0.0
2026-01-15 01:00:00,1,Asian Session (00:00-08:00),Đỉnh,4615.19,47.2,58.37,72.97,,,17.75192,False,False,None,None,0.0
